Metabolites,Class,Treatment type,Treatment concentration,Replicate,Metabolite concentration
"Lactose, TMS",Carbohydrates,SH,1,2,2.238134284
β-D-Glucopyranose TMS,Carbohydrates,SH,1,2,1.886816706
5-Methoxyindoleacetic acid,Indoles,SH,1,2,0.929953962
Erythrose MEOX-3TMS,Carbohydrates,SH,1,2,2.535739518
Glucose-MOX-5TMS-PK26,Carbohydrates,SH,1,2,-0.420497121
"Xylose, TMS",Carbohydrates,SH,1,2,1.670785375
"Myo-Inositol, 6TMS",Carbohydrates,SH,1,2,1.749117402
"Palmitic acid, TMS",Fatty acids,SH,1,2,1.020529031
L-Rhamnose 4TMS,Carbohydrates,SH,1,2,-0.96077406
"Myristic acid, TMS",Fatty acids,SH,1,2,1.141207629
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,SH,1,2,1.181904559
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,SH,1,2,1.096947984
"3,4-Dihydroxycinnamic acid, 3TMS",,SH,1,2,0.301984482
"2-Palmitoylglycerol, 2TMS",,SH,1,2,1.679130069
"Altronic acid, 1,4-lactone, TMS",,SH,1,2,1.951504205
"Uridine, tris-TMS",Nucleic acids,SH,1,2,1.284478779
"Mannonic acid, 1,4-lactone, (4TMS)",,SH,1,2,0.113816355
Monostearin TMS,,SH,1,2,1.561952879
Adenine 2TMS,Nucleic acids,SH,1,3,0.722163404
Serine 3TMS,Amino acids,SH,1,3,1.386217116
L-Threonine 3TMS,Amino acids,SH,1,3,0.511190552
Malic acid 3TMS,Organic acids,SH,1,3,1.84344909
L-Aspartic acid 3TMS,Amino acids,SH,1,3,1.692514042
"Pipecolic acid, TMS derivative",Alkaloids,SH,1,3,1.418881617
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,SH,1,3,-0.259117953
Tryptamine,Alkaloids,SH,1,3,1.440885716
Phenylpyruvic acid oxime 2TMS,,SH,1,3,1.322462872
L-Glutamine 3TMS,Amino acids,SH,1,3,1.377382039
L-phenylalanine 2TMS,Amino acids,SH,1,3,2.008815395
L-(+)-Tartaric acid 4TMS,Organic acids,SH,1,3,0.930457618
2-Keto-L-gulonic acid,Carbohydrates,SH,1,3,1.243462184
"Arabinose, 4TMS",Carbohydrates,SH,1,3,-0.778716491
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,SH,1,3,-0.360235443
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,SH,1,3,-0.624337246
"Fructose, MEOX-5TMS",Carbohydrates,SH,1,3,0.796052653
Glyceric acid 3TMS,Organic acids,SH,1,3,1.630382465
"Lactose, TMS",Carbohydrates,SH,1,3,1.988928493
β-D-Glucopyranose TMS,Carbohydrates,SH,1,3,1.389349803
5-Methoxyindoleacetic acid,Indoles,SH,1,3,0.730937201
Erythrose MEOX-3TMS,Carbohydrates,SH,1,3,-0.361561816
Glucose-MOX-5TMS-PK27,Carbohydrates,SH,1,3,-2.423428943
"Xylose, TMS",Carbohydrates,SH,1,3,1.203333351
"Myo-Inositol, 6TMS",Carbohydrates,SH,1,3,1.143736727
"Palmitic acid, TMS",Fatty acids,SH,1,3,0.606352632
L-Rhamnose 4TMS,Carbohydrates,SH,1,3,-0.963316467
"Myristic acid, TMS",Fatty acids,SH,1,3,-0.400641734
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,SH,1,3,0.763554297
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,SH,1,3,0.73804073
"3,4-Dihydroxycinnamic acid, 3TMS",,SH,1,3,0.298176029
"2-Palmitoylglycerol, 2TMS",,SH,1,3,0.999602329
"Altronic acid, 1,4-lactone, TMS",,SH,1,3,1.763384728
"Uridine, tris-TMS",Nucleic acids,SH,1,3,1.067288187
"Mannonic acid, 1,4-lactone, (4TMS)",,SH,1,3,0.111361749
Monostearin TMS,,SH,1,3,-0.641239886
Adenine 2TMS,Nucleic acids,SH,1,4,0.697186767
Serine 3TMS,Amino acids,SH,1,4,1.471865081
L-Threonine 3TMS,Amino acids,SH,1,4,0.529807284
Malic acid 3TMS,Organic acids,SH,1,4,1.948357425
L-Aspartic acid 3TMS,Amino acids,SH,1,4,2.002337275
"Pipecolic acid, TMS derivative",Alkaloids,SH,1,4,1.252379218
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,SH,1,4,-0.206016395
Tryptamine,Alkaloids,SH,1,4,1.446876185
Phenylpyruvic acid oxime 2TMS,,SH,1,4,-0.453069101
L-Glutamine 3TMS,Amino acids,SH,1,4,5.7290707
L-phenylalanine 2TMS,Amino acids,SH,1,4,2.159160482
L-(+)-Tartaric acid 4TMS,Organic acids,SH,1,4,1.260985516
2-Keto-L-gulonic acid,Carbohydrates,SH,1,4,1.513354672
"Arabinose, 4TMS",Carbohydrates,SH,1,4,1.408753266
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,SH,1,4,-0.050706489
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,SH,1,4,-0.559718823
"Fructose, MEOX-5TMS",Carbohydrates,SH,1,4,0.810352703
Glyceric acid 3TMS,Organic acids,SH,1,4,-0.33777375
"Lactose, TMS",Carbohydrates,SH,1,4,2.485866579
β-D-Glucopyranose TMS,Carbohydrates,SH,1,4,1.050666351
5-Methoxyindoleacetic acid,Indoles,SH,1,4,1.014395141
Erythrose MEOX-3TMS,Carbohydrates,SH,1,4,2.355255779
Glucose-MOX-5TMS-PK27,Carbohydrates,SH,1,4,1.25186633
"Xylose, TMS",Carbohydrates,SH,1,4,1.158732698
"Myo-Inositol, 6TMS",Carbohydrates,SH,1,4,1.573062064
"Palmitic acid, TMS",Fatty acids,SH,1,4,0.672146215
L-Rhamnose 4TMS,Carbohydrates,SH,1,4,-0.90755081
"Myristic acid, TMS",Fatty acids,SH,1,4,0.838285495
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,SH,1,4,0.46506792
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,SH,1,4,0.766349123
"3,4-Dihydroxycinnamic acid, 3TMS",,SH,1,4,0.381711482
"2-Palmitoylglycerol, 2TMS",,SH,1,4,1.105686101
"Altronic acid, 1,4-lactone, TMS",,SH,1,4,1.733475899
"Uridine, tris-TMS",Nucleic acids,SH,1,4,1.211840902
"Mannonic acid, 1,4-lactone, (4TMS)",,SH,1,4,2.307199672
Monostearin TMS,,SH,1,4,1.351985733
Adenine 2TMS,Nucleic acids,SH,1,5,0.319613
Serine 3TMS,Amino acids,SH,1,5,1.158249341
L-Threonine 3TMS,Amino acids,SH,1,5,0.423250877
Malic acid 3TMS,Organic acids,SH,1,5,1.553453744
L-Aspartic acid 3TMS,Amino acids,SH,1,5,1.583907281
"Pipecolic acid, TMS derivative",Alkaloids,SH,1,5,0.99642824
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,SH,1,5,-0.460022758
Tryptamine,Alkaloids,SH,1,5,1.145232133
Phenylpyruvic acid oxime 2TMS,,SH,1,5,0.947392859
L-Glutamine 3TMS,Amino acids,SH,1,5,1.291519652
L-phenylalanine 2TMS,Amino acids,SH,1,5,2.090400468
L-(+)-Tartaric acid 4TMS,Organic acids,SH,1,5,0.775005924
2-Keto-L-gulonic acid,Carbohydrates,SH,1,5,1.258114452
"Arabinose, 4TMS",Carbohydrates,SH,1,5,0.851865872
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,SH,1,5,-0.141050371
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,SH,1,5,-0.868814965
"Fructose, MEOX-5TMS",Carbohydrates,SH,1,5,0.736871669
Glyceric acid 3TMS,Organic acids,SH,1,5,1.692106056
"Lactose, TMS",Carbohydrates,SH,1,5,2.099121028
β-D-Glucopyranose TMS,Carbohydrates,SH,1,5,0.550233184
5-Methoxyindoleacetic acid,Indoles,SH,1,5,0.536649044
Erythrose MEOX-3TMS,Carbohydrates,SH,1,5,1.196061631
Glucose-MOX-5TMS-PK28,Carbohydrates,SH,1,5,-0.426574478
"Xylose, TMS",Carbohydrates,SH,1,5,0.820343458
"Myo-Inositol, 6TMS",Carbohydrates,SH,1,5,0.962541071
"Palmitic acid, TMS",Fatty acids,SH,1,5,0.218947341
L-Rhamnose 4TMS,Carbohydrates,SH,1,5,0.214456858
"Myristic acid, TMS",Fatty acids,SH,1,5,0.6007502
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,SH,1,5,-0.165245075
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,SH,1,5,0.510660036
"3,4-Dihydroxycinnamic acid, 3TMS",,SH,1,5,-0.017869668
"2-Palmitoylglycerol, 2TMS",,SH,1,5,-1.851384246
"Altronic acid, 1,4-lactone, TMS",,SH,1,5,-0.322776715
"Uridine, tris-TMS",Nucleic acids,SH,1,5,1.061758261
"Mannonic acid, 1,4-lactone, (4TMS)",,SH,1,5,-0.092336162
Monostearin TMS,,SH,1,5,-0.699676493
Adenine 2TMS,Nucleic acids,SH,CTRL,1,1.134893657
Serine 3TMS,Amino acids,SH,CTRL,1,0.908949164
L-Threonine 3TMS,Amino acids,SH,CTRL,1,0.293163786
Malic acid 3TMS,Organic acids,SH,CTRL,1,-0.844988823
L-Aspartic acid 3TMS,Amino acids,SH,CTRL,1,0.628618188
"Pipecolic acid, TMS derivative",Alkaloids,SH,CTRL,1,1.463846314
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,SH,CTRL,1,-0.144278595
Tryptamine,Alkaloids,SH,CTRL,1,-0.010325753
Phenylpyruvic acid oxime 2TMS,,SH,CTRL,1,0.569161418
L-Glutamine 3TMS,Amino acids,SH,CTRL,1,-0.097612195
L-phenylalanine 2TMS,Amino acids,SH,CTRL,1,0.481561937
L-(+)-Tartaric acid 4TMS,Organic acids,SH,CTRL,1,0.397301416
2-Keto-L-gulonic acid,Carbohydrates,SH,CTRL,1,0.799928424
"Arabinose, 4TMS",Carbohydrates,SH,CTRL,1,-0.495596426
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,SH,CTRL,1,-0.320488085
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,SH,CTRL,1,-0.484591089
"Fructose, MEOX-5TMS",Carbohydrates,SH,CTRL,1,-0.834846273
Glyceric acid 3TMS,Organic acids,SH,CTRL,1,-0.284591058
"Lactose, TMS",Carbohydrates,SH,CTRL,1,-0.776996762
β-D-Glucopyranose TMS,Carbohydrates,SH,CTRL,1,0.1779574
5-Methoxyindoleacetic acid,Indoles,SH,CTRL,1,-0.864451688
Erythrose MEOX-3TMS,Carbohydrates,SH,CTRL,1,0.267032763
Glucose-MOX-5TMS-PK28,Carbohydrates,SH,CTRL,1,-0.507965603
"Xylose, TMS",Carbohydrates,SH,CTRL,1,1.162080174
"Myo-Inositol, 6TMS",Carbohydrates,SH,CTRL,1,1.094992429
"Palmitic acid, TMS",Fatty acids,SH,CTRL,1,1.081737144
L-Rhamnose 4TMS,Carbohydrates,SH,CTRL,1,1.000130914
"Myristic acid, TMS",Fatty acids,SH,CTRL,1,1.201598201
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,SH,CTRL,1,0.637085076
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,SH,CTRL,1,1.15841892
"3,4-Dihydroxycinnamic acid, 3TMS",,SH,CTRL,1,0.478833098
"2-Palmitoylglycerol, 2TMS",,SH,CTRL,1,1.879916448
"Altronic acid, 1,4-lactone, TMS",,SH,CTRL,1,1.593192611
"Uridine, tris-TMS",Nucleic acids,SH,CTRL,1,1.123415719
"Mannonic acid, 1,4-lactone, (4TMS)",,SH,CTRL,1,0.227797672
Monostearin TMS,,SH,CTRL,1,1.580264545
Adenine 2TMS,Nucleic acids,SH,CTRL,2,0.772127169
Serine 3TMS,Amino acids,SH,CTRL,2,0.595577668
L-Threonine 3TMS,Amino acids,SH,CTRL,2,0.109105255
Malic acid 3TMS,Organic acids,SH,CTRL,2,-1.197840083
L-Aspartic acid 3TMS,Amino acids,SH,CTRL,2,0.294112503
"Pipecolic acid, TMS derivative",Alkaloids,SH,CTRL,2,1.077163338
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,SH,CTRL,2,-0.370451188
Tryptamine,Alkaloids,SH,CTRL,2,-0.033129467
Phenylpyruvic acid oxime 2TMS,,SH,CTRL,2,0.880866642
L-Glutamine 3TMS,Amino acids,SH,CTRL,2,-0.217976142
L-phenylalanine 2TMS,Amino acids,SH,CTRL,2,0.187153592
L-(+)-Tartaric acid 4TMS,Organic acids,SH,CTRL,2,0.175578994
2-Keto-L-gulonic acid,Carbohydrates,SH,CTRL,2,0.246899256
"Arabinose, 4TMS",Carbohydrates,SH,CTRL,2,-1.053192716
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,SH,CTRL,2,-0.398769288
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,SH,CTRL,2,1.629025431
"Fructose, MEOX-5TMS",Carbohydrates,SH,CTRL,2,0.603676298
Glyceric acid 3TMS,Organic acids,SH,CTRL,2,1.257793428
"Lactose, TMS",Carbohydrates,SH,CTRL,2,-0.32894818
β-D-Glucopyranose TMS,Carbohydrates,SH,CTRL,2,0.427679144
5-Methoxyindoleacetic acid,Indoles,SH,CTRL,2,1.545754789
Erythrose MEOX-3TMS,Carbohydrates,SH,CTRL,2,0.442628059
Glucose-MOX-5TMS-PK29,Carbohydrates,SH,CTRL,2,0.819796996
"Xylose, TMS",Carbohydrates,SH,CTRL,2,0.493983881
"Myo-Inositol, 6TMS",Carbohydrates,SH,CTRL,2,0.414777359
"Palmitic acid, TMS",Fatty acids,SH,CTRL,2,0.51042964
L-Rhamnose 4TMS,Carbohydrates,SH,CTRL,2,0.69699761
"Myristic acid, TMS",Fatty acids,SH,CTRL,2,0.800566873
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,SH,CTRL,2,0.358996105
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,SH,CTRL,2,0.662135325
"3,4-Dihydroxycinnamic acid, 3TMS",,SH,CTRL,2,0.123035718
"2-Palmitoylglycerol, 2TMS",,SH,CTRL,2,-1.733386285
"Altronic acid, 1,4-lactone, TMS",,SH,CTRL,2,-0.252805695
"Uridine, tris-TMS",Nucleic acids,SH,CTRL,2,0.80570568
"Mannonic acid, 1,4-lactone, (4TMS)",,SH,CTRL,2,-0.00151931
Monostearin TMS,,SH,CTRL,2,1.242643608
Adenine 2TMS,Nucleic acids,SH,CTRL,3,-0.193871222
Serine 3TMS,Amino acids,SH,CTRL,3,0.867828252
L-Threonine 3TMS,Amino acids,SH,CTRL,3,0.289201247
Malic acid 3TMS,Organic acids,SH,CTRL,3,-0.324223332
L-Aspartic acid 3TMS,Amino acids,SH,CTRL,3,1.122307943
"Pipecolic acid, TMS derivative",Alkaloids,SH,CTRL,3,1.331099753
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,SH,CTRL,3,0.189524607
Tryptamine,Alkaloids,SH,CTRL,3,0.312751587
Phenylpyruvic acid oxime 2TMS,,SH,CTRL,3,0.597336659
L-Glutamine 3TMS,Amino acids,SH,CTRL,3,0.080033278
L-phenylalanine 2TMS,Amino acids,SH,CTRL,3,0.916073005
L-(+)-Tartaric acid 4TMS,Organic acids,SH,CTRL,3,1.324734118
2-Keto-L-gulonic acid,Carbohydrates,SH,CTRL,3,-0.664403647
"Arabinose, 4TMS",Carbohydrates,SH,CTRL,3,0.327347769
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,SH,CTRL,3,-0.204954567
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,SH,CTRL,3,-0.078391271
"Fructose, MEOX-5TMS",Carbohydrates,SH,CTRL,3,-0.859237006
Glyceric acid 3TMS,Organic acids,SH,CTRL,3,0.002956485
"Lactose, TMS",Carbohydrates,SH,CTRL,3,-0.229805552
β-D-Glucopyranose TMS,Carbohydrates,SH,CTRL,3,0.225076137
5-Methoxyindoleacetic acid,Indoles,SH,CTRL,3,2.21980507
Erythrose MEOX-3TMS,Carbohydrates,SH,CTRL,3,0.870348232
Glucose-MOX-5TMS-PK29,Carbohydrates,SH,CTRL,3,-0.549513807
"Xylose, TMS",Carbohydrates,SH,CTRL,3,1.126589966
"Myo-Inositol, 6TMS",Carbohydrates,SH,CTRL,3,1.210432395
"Palmitic acid, TMS",Fatty acids,SH,CTRL,3,1.194609787
L-Rhamnose 4TMS,Carbohydrates,SH,CTRL,3,0.924154209
"Myristic acid, TMS",Fatty acids,SH,CTRL,3,1.190766374
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,SH,CTRL,3,1.184635347
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,SH,CTRL,3,1.356104885
"3,4-Dihydroxycinnamic acid, 3TMS",,SH,CTRL,3,1.003952011
"2-Palmitoylglycerol, 2TMS",,SH,CTRL,3,1.46885315
"Altronic acid, 1,4-lactone, TMS",,SH,CTRL,3,0.18463306
"Uridine, tris-TMS",Nucleic acids,SH,CTRL,3,1.081467501
"Mannonic acid, 1,4-lactone, (4TMS)",,SH,CTRL,3,0.566241602
Monostearin TMS,,SH,CTRL,3,-0.53000373
Adenine 2TMS,Nucleic acids,SH,CTRL,4,1.388972425
Serine 3TMS,Amino acids,SH,CTRL,4,0.948456858
L-Threonine 3TMS,Amino acids,SH,CTRL,4,0.355023538
Malic acid 3TMS,Organic acids,SH,CTRL,4,-0.367611214
L-Aspartic acid 3TMS,Amino acids,SH,CTRL,4,1.08117589
"Pipecolic acid, TMS derivative",Alkaloids,SH,CTRL,4,1.369126936
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,SH,CTRL,4,0.161713598
Tryptamine,Alkaloids,SH,CTRL,4,0.520066791
Phenylpyruvic acid oxime 2TMS,,SH,CTRL,4,0.439081304
L-Glutamine 3TMS,Amino acids,SH,CTRL,4,0.065232577
L-phenylalanine 2TMS,Amino acids,SH,CTRL,4,0.879871456
L-(+)-Tartaric acid 4TMS,Organic acids,SH,CTRL,4,0.845826234
2-Keto-L-gulonic acid,Carbohydrates,SH,CTRL,4,1.085246715
"Arabinose, 4TMS",Carbohydrates,SH,CTRL,4,0.258783692
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,SH,CTRL,4,-0.21458031
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,SH,CTRL,4,-0.11223405
"Fructose, MEOX-5TMS",Carbohydrates,SH,CTRL,4,-0.833555654
Glyceric acid 3TMS,Organic acids,SH,CTRL,4,-0.021000707
"Lactose, TMS",Carbohydrates,SH,CTRL,4,-0.282588238
β-D-Glucopyranose TMS,Carbohydrates,SH,CTRL,4,1.041862129
5-Methoxyindoleacetic acid,Indoles,SH,CTRL,4,0.080200893
Erythrose MEOX-3TMS,Carbohydrates,SH,CTRL,4,0.965060435
Glucose-MOX-5TMS-PK30,Carbohydrates,SH,CTRL,4,0.744419062
"Xylose, TMS",Carbohydrates,SH,CTRL,4,1.220686602
"Myo-Inositol, 6TMS",Carbohydrates,SH,CTRL,4,0.953174473
"Palmitic acid, TMS",Fatty acids,SH,CTRL,4,1.328875063
L-Rhamnose 4TMS,Carbohydrates,SH,CTRL,4,1.022665176
"Myristic acid, TMS",Fatty acids,SH,CTRL,4,1.334078163
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,SH,CTRL,4,1.475133253
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,SH,CTRL,4,0.939783929
"3,4-Dihydroxycinnamic acid, 3TMS",,SH,CTRL,4,0.960201305
"2-Palmitoylglycerol, 2TMS",,SH,CTRL,4,-1.032333089
"Altronic acid, 1,4-lactone, TMS",,SH,CTRL,4,0.162907812
"Uridine, tris-TMS",Nucleic acids,SH,CTRL,4,1.062609094
"Mannonic acid, 1,4-lactone, (4TMS)",,SH,CTRL,4,0.538043948
Monostearin TMS,,SH,CTRL,4,-0.55727117
Adenine 2TMS,Nucleic acids,SH,CTRL,5,0.800684821
Serine 3TMS,Amino acids,SH,CTRL,5,0.624367571
L-Threonine 3TMS,Amino acids,SH,CTRL,5,0.159879529
Malic acid 3TMS,Organic acids,SH,CTRL,5,-0.854800797
L-Aspartic acid 3TMS,Amino acids,SH,CTRL,5,0.619316361
"Pipecolic acid, TMS derivative",Alkaloids,SH,CTRL,5,1.146367029
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,SH,CTRL,5,1.641593251
Tryptamine,Alkaloids,SH,CTRL,5,0.048654765
Phenylpyruvic acid oxime 2TMS,,SH,CTRL,5,0.155415734
L-Glutamine 3TMS,Amino acids,SH,CTRL,5,-0.100959268
L-phenylalanine 2TMS,Amino acids,SH,CTRL,5,0.473375123
L-(+)-Tartaric acid 4TMS,Organic acids,SH,CTRL,5,-1.848734598
2-Keto-L-gulonic acid,Carbohydrates,SH,CTRL,5,-0.074328798
"Arabinose, 4TMS",Carbohydrates,SH,CTRL,5,-0.511101883
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,SH,CTRL,5,-0.322664904
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,SH,CTRL,5,-0.492244479
"Fructose, MEOX-5TMS",Carbohydrates,SH,CTRL,5,-0.903207847
Glyceric acid 3TMS,Organic acids,SH,CTRL,5,-0.290008869
"Lactose, TMS",Carbohydrates,SH,CTRL,5,0.136398335
β-D-Glucopyranose TMS,Carbohydrates,SH,CTRL,5,-0.614620758
5-Methoxyindoleacetic acid,Indoles,SH,CTRL,5,-0.869662493
Erythrose MEOX-3TMS,Carbohydrates,SH,CTRL,5,0.752887442
Glucose-MOX-5TMS-PK30,Carbohydrates,SH,CTRL,5,-0.616021812
"Xylose, TMS",Carbohydrates,SH,CTRL,5,0.629709887
"Myo-Inositol, 6TMS",Carbohydrates,SH,CTRL,5,0.437756925
"Palmitic acid, TMS",Fatty acids,SH,CTRL,5,0.650656216
L-Rhamnose 4TMS,Carbohydrates,SH,CTRL,5,0.583251238
"Myristic acid, TMS",Fatty acids,SH,CTRL,5,0.843215083
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,SH,CTRL,5,0.708397064
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,SH,CTRL,5,0.753201499
"3,4-Dihydroxycinnamic acid, 3TMS",,SH,CTRL,5,0.468939143
"2-Palmitoylglycerol, 2TMS",,SH,CTRL,5,0.989641098
"Altronic acid, 1,4-lactone, TMS",,SH,CTRL,5,1.306648447
"Uridine, tris-TMS",Nucleic acids,SH,CTRL,5,0.745667405
"Mannonic acid, 1,4-lactone, (4TMS)",,SH,CTRL,5,0.2214209
Monostearin TMS,,SH,CTRL,5,1.240948458
